date,mean_rain_mm,sum_7d,sum_30d
2023-09-01,0.0,0.9660050008127664,1.9424270142214017
2023-09-02,0.0,0.9660050008127664,1.9424270142214017
2023-09-03,0.0,0.9660050008127664,1.9424270142214017
2023-09-04,0.0,0.9660050008127664,1.9424270142214017
2023-09-05,0.0,0.9660050008127664,1.9424270142214017
2023-09-06,0.0,0.0,1.9424270142214017
2023-09-07,0.0,0.0,1.9424270142214017
2023-09-08,0.0,0.0,1.9424270142214017
2023-09-09,0.0,0.0,1.9424270142214017
2023-09-10,0.0,0.0,1.9424270142214017
2023-09-11,0.0,0.0,1.9424270142214017
2023-09-12,0.0,0.0,1.9424270142214017
2023-09-13,0.0,0.0,1.9424270142214017
2023-09-14,0.0,0.0,1.9424270142214017
2023-09-15,0.0,0.0,1.9424270142214017
2023-09-16,0.0,0.0,1.80479878934652
2023-09-17,0.0,0.0,1.0433194351896142
2023-09-18,0.0,0.0,1.0433194351896142
2023-09-19,0.0,0.0,1.0433194351896142
2023-09-20,0.0,0.0,1.0433194351896142
2023-09-21,0.0,0.0,0.9660050008127772
2023-09-22,0.0,0.0,0.9660050008127772
2023-09-23,4.21670177242878,4.2167017724287765,5.1827067732415575
2023-09-24,0.0,4.2167017724287765,5.1827067732415575
2023-09-25,0.0,4.2167017724287765,5.1827067732415575
2023-09-26,0.0,4.2167017724287765,5.1827067732415575
2023-09-27,0.0,4.2167017724287765,5.1827067732415575
2023-09-28,0.0,4.2167017724287765,5.1827067732415575
2023-09-29,25.70366113883151,29.920362911260288,29.9203629112603
2023-09-30,0.0,25.703661138831507,29.9203629112603
2023-10-01,0.0,25.703661138831507,29.9203629112603
2023-10-02,0.0,25.703661138831507,29.9203629112603
2023-10-03,0.4568173056124134,26.16047844444392,30.377180216872713
2023-10-04,22.06312295892778,48.2236014033717,52.440303175800494
2023-10-05,0.0,48.2236014033717,52.440303175800494
2023-10-06,0.0,22.519940264540192,52.440303175800494
2023-10-07,0.0,22.519940264540192,52.440303175800494
2023-10-08,0.0,22.519940264540192,52.440303175800494
2023-10-09,0.0,22.519940264540192,52.440303175800494
2023-10-10,0.0,22.063122958927778,52.440303175800494
2023-10-11,0.0,0.0,52.440303175800494
2023-10-12,0.0135801708054791,0.013580170805475546,52.45388334660597
2023-10-13,0.0,0.013580170805475546,52.45388334660597
2023-10-14,0.0,0.013580170805475546,52.45388334660597
2023-10-15,0.0,0.013580170805475546,52.45388334660597
2023-10-16,0.0,0.013580170805475546,52.45388334660597
2023-10-17,9.189759372711034,9.20333954351651,61.64364271931701
2023-10-18,1.30130117845258,10.50464072196909,62.94494389776959
2023-10-19,13.918611994560552,24.409672545724163,76.86355589233014
2023-10-20,29.944863883353083,54.35453642907724,106.80841977568322
2023-10-21,0.316078498312221,54.670614927389465,107.12449827399544
2023-10-22,3.093710253265759,57.76432518065522,110.2182085272612
2023-10-23,0.691619397782362,58.45594457843759,106.69312615261478
2023-10-24,0.4773639249818386,49.743549130708395,107.17049007759663
2023-10-25,2.717452027322091,51.1596999795779,109.88794210491871
2023-10-26,9.3642481164451,46.605336101462456,119.25219022136382
2023-10-27,6.504862750424777,23.165334968534143,125.7570529717886
2023-10-28,3.721503124904831,26.570759595126752,129.4785560966934
2023-10-29,31.049667958088037,54.52671729994903,134.82456291594997
2023-10-30,0.0,53.835097902166666,134.82456291594997
2023-10-31,8.364737077189446,61.72247105437428,143.1892999931394
2023-11-01,20.736555701670785,79.74157472872298,163.9258556948102
2023-11-02,19.12565226754197,89.50297887981984,182.59469065673974
2023-11-03,1.680971873699421,84.67908800309449,162.21253957151137
2023-11-04,8.199258039531886,89.15684291772153,170.41179761104326
2023-11-05,23.922373024353984,82.02954798398748,194.33417063539724
2023-11-06,31.19367447582818,113.22322245981566,225.52784511122542
2023-11-07,0.0,104.85848538262621,225.52784511122542
2023-11-08,0.0,84.12192968095543,225.52784511122542
2023-11-09,0.0,64.99627741341347,225.52784511122542
2023-11-10,0.0,63.31530553971404,225.52784511122542
2023-11-11,2.728567736167725,57.84461523634988,228.24283267658768
2023-11-12,0.0,33.92224221199589,228.24283267658768
2023-11-13,4.336812430320321,7.065380166488039,232.579645106908
2023-11-14,2.798002552508769,9.863382718996807,235.37764765941677
2023-11-15,37.38720551153513,47.25058823053193,272.7648531709519
2023-11-16,6.955181501271001,54.20576973180293,270.53027529951186
2023-11-17,17.391113228692014,71.59688296049495,286.62008734975126
2023-11-18,58.4346539749855,127.30296919931273,331.13612933017623
2023-11-19,1.7141555006919744,129.0171247000047,302.9054209475151
2023-11-20,0.0,124.68031226968438,302.5893424492029
2023-11-21,0.0,121.8823097171756,299.4956321959371
2023-11-22,0.0,84.49510420564047,298.80401279815476
2023-11-23,0.0,77.53992270436947,298.3266488731729
2023-11-24,0.0,60.14880947567746,295.6091968458508
2023-11-25,0.0,1.7141555006919602,286.24494872940573
2023-11-26,0.0,0.0,279.74008597898097
2023-11-27,0.0,0.0,276.0185828540761
2023-11-28,0.0,0.0,244.96891489598812
2023-11-29,0.0,0.0,244.96891489598812
2023-11-30,0.0,0.0,236.60417781879866
2023-12-01,0.0,0.0,215.8676221171279
2023-12-02,0.0,0.0,196.74196984958593
2023-12-03,0.0,0.0,195.0609979758865
2023-12-04,0.0,0.0,186.8617399363546
2023-12-05,0.0,0.0,162.93936691200062
2023-12-06,0.0,0.0,131.74569243617245
2023-12-07,0.0,0.0,131.74569243617245
2023-12-08,0.0,0.0,131.74569243617245
2023-12-09,0.0,0.0,131.74569243617245
2023-12-10,0.0,0.0,131.74569243617245
2023-12-11,0.0,0.0,129.01712470000473
2023-12-12,0.0,0.0,129.01712470000473
2023-12-13,0.0,0.0,124.68031226968439
2023-12-14,0.0,0.0,121.88230971717563
2023-12-15,0.0,0.0,84.4951042056405
